question,answer
How do I reset my password?,Visit the IT portal and select Forgot Password.
Where is the registrar office?,The registrar office is located in Building A room 210.
How do I pay tuition?,Tuition can be paid online through the finance portal.
How do I contact technical support?,Email support@university.edu.
What are the library hours?,The library is open from 8 AM to 10 PM.
How do I register for courses?,Log into the student portal and open course registration.
How can I apply for scholarships?,Visit the scholarships section on the university website.
How do I get my student ID card?,Student ID cards are usually requested through the student portal or campus card office. Bring valid identification when picking it up.
How can I contact an academic advisor?,Book an appointment with your academic advisor through your department website or student advising office.
Where can I find my exam schedule?,Your exam schedule is usually available in the student portal under academics or exams once the university publishes it.
How do I drop a course?,"Log in to the student portal, go to your enrolled courses, and follow the drop course instructions before the official deadline."
What should I do if I feel very stressed about school?,"Contact student wellness services or an academic advisor. If it feels urgent, reach out to campus security or local emergency support immediately."
How do I request an official transcript?,Official transcripts can usually be requested online through the student portal or the registrar's transcript request page.
Where can I find financial aid information?,"Financial aid information is available through the financial aid and awards office, including loans, bursaries, and emergency funding options."
How do I access Moodle?,Go to the Moodle login page and sign in with your university username and password. Contact IT support if your courses are missing.
How do I change my address?,Update your address in the student portal under your personal information settings.
How do I get proof of enrollment?,You can request proof of enrollment through the student portal or registrar office.
How do I join the waitlist for a full course?,Use the course registration page in the student portal to join the waitlist if the option is available.
Where can I find campus parking information?,Campus parking information is available on the university parking services website.
How do I appeal a grade?,Contact your instructor first and then follow the official grade appeal process listed by your faculty or department.
